String,Admin Roles,Content Roles,End User,From Mukurtu
1,,,,
    %action was applied to @count item.,x,x,,
    %action was applied to @count items.,x,x,,
    %archive_file contains a version of %names that is not compatible with Drupal @version.,,,,
    %archive_file contains versions of modules or themes that are not compatible with Drupal @version: %names,,,,
"    %capital_name contains @count menu links with pending revisions. Manipulation of a menu tree having links with pending revisions is not supported, but you can re-enable manipulation by getting each menu link to a published state.",,,,
"    %capital_name contains @count terms with pending revisions. Drag and drop of terms with pending revisions is not supported, but you can re-enable drag-and-drop support by getting each term to a published state.",,,,
"    %capital_name contains 1 menu link with pending revisions. Manipulation of a menu tree having links with pending revisions is not supported, but you can re-enable manipulation by getting each menu link to a published state.",,,,
"    %capital_name contains 1 term with pending revisions. Drag and drop of terms with pending revisions is not supported, but you can re-enable drag-and-drop support by getting each term to a published state.",,,,
    %label is used by @count comments on your site. You may not remove %label until you have removed all of the %label comments.,,,,
    %label is used by @count content blocks on your site. You may not remove %label until you have removed all of the %label content blocks.,,,,
    %label is used by 1 comment on your site. You can not remove this comment type until you have removed all of the %label comments.,,,,
    %label is used by 1 content block on your site. You can not remove this block type until you have removed all of the %label blocks.,,,,
    %name must contain at least @count tokens.,,,,
    %name must contain at least one token.,,,,
    %name must contain at most @count tokens.,,,,
    %name must contain at most one token.,,,,
    %type is used by @count media item on your site. You can not remove this media type until you have removed all of the %type media items.,,,,
    %type is used by @count media items on your site. You can not remove this media type until you have removed all of the %type media items.,,,,
    %type is used by @count pieces of content on your site. You may not remove %type until you have removed all of the %type content.,,,,
    %type is used by 1 piece of content on your site. You can not remove this content type until you have removed all of the %type content.,,,,
    %type Paragraphs type is used by @count pieces of content on your site. You may not remove %type Paragraphs type until you have removed all from the content.,,,,
    %type Paragraphs type is used by 1 piece of content on your site. You can not remove this %type Paragraphs type until you have removed all from the content.,,,,
    @count @label,,,,
    @count @label entities,,,,
    @count @label revisions.,,,,
    @count bytes,,,,
    @count changed,,,,
    @count changed,,,,
    @count children,,,,
    @count comment has not been deleted because you do not have the necessary permissions.,x,x,,
    @count comments,x,,,
    @count comments have not been deleted because you do not have the necessary permissions.,x,x,,
    @count content item has not been deleted because you do not have the necessary permissions.,x,x,,
    @count content items have not been deleted because you do not have the necessary permissions.,x,x,,
    @count contextual link,,,,
    @count contextual links,,,,
    @count day,x,,,
    @count days,x,,,
